economy,year,debt_to_gdp,external_debt_gni,short_term_debt_reserves,debt_service_ratio,govt_expense_gdp,inflation_cpi,real_interest_rate,m2_growth,m2_to_reserves,private_credit_gdp,current_account_gdp,total_reserves,terms_of_trade_index,exports_gdp,gdp_growth,gdp_pc_growth,capital_formation_gdp,sp500_index,vix_index,treasury_10y_rate,fed_funds_rate,income_group,region,target_next_year
ALB,2011,69.1921886031503,49.9704814370826,44.1769359959895,11.8316593851992,22.8639005918422,3.42807130141503,10.5583645007965,9.16778879503815,4.29168565388405,40.8904191085198,-12.8503659661776,2471402724.94026,103.5,29.0544738022633,2.46351683915714,2.73953255678821,31.6903461775522,2677.4407142857144,24.20257936507937,2.78164,0.1016666666666666,UMC,ECS,0.0
ALB,2012,64.0504160397904,60.7645738045994,56.537350710086,14.2869072533363,23.1453646987216,2.03159268395296,10.6295054335739,4.97687240106527,3.99414674503638,41.048928970868,-10.2612568930744,2599863597.31882,105.9,29.1107709360814,0.984129880204108,2.5545386692104,28.6230804126196,2965.55932,17.79888,1.80344,0.14,UMC,ECS,0.0
ALB,2013,70.4662619818776,66.4368565074873,62.8992453187829,13.5215302032287,24.1215753414946,1.93762080205223,9.44075587277392,2.27610578506511,3.92076454267117,39.7219957616212,-9.25914166645898,2773278107.16848,105.4,28.8694020076469,1.7072283175406,3.28889031489732,27.8069449555149,3541.2920238095235,14.230119047619048,2.35016,0.1075,UMC,ECS,0.0
ALB,2014,72.9442880579616,63.4459677291758,70.3555410533172,17.5387022314407,24.257646662903,1.62586504402604,6.43617834102525,4.01312468450278,4.25106858010078,39.0603696115194,-10.7201496577808,2665215805.2185,108.4,28.0683434875498,2.24022695382642,3.83017022939833,26.5299242007892,4375.103492063492,14.175992063492064,2.53956,0.0891666666666666,UMC,ECS,0.0
ALB,2015,79.2842872907886,72.7839311764582,57.1389746886783,33.5285463236996,24.2686000374049,1.89617402592366,7.0515158846934,1.76472064865408,3.07634356190395,36.8808802178051,-8.5423750766982,3138517990.16501,100.0,27.0693224620319,2.2277040745779,3.81743447071763,26.0810405275666,4945.553492063492,16.674126984126985,2.1382868525896415,0.1325,UMC,ECS,0.0
ALB,2016,79.8771647108445,69.9108688734659,60.1387042118085,15.2354342786112,23.7020106412118,1.27543168367423,7.66467500828309,3.88758243023237,3.27397366862978,36.2098635348358,-7.51011690016649,3108607051.81759,99.0,28.6697931741608,3.90893551362245,5.52482598081943,25.626746695952,4987.792976190476,15.82563492063492,1.83744,0.395,UMC,ECS,0.0
ALB,2017,74.5233409147154,73.748302704928,59.8848516715273,11.1448259863343,23.4381629574962,1.98666133171194,3.40221801971973,0.274642647966695,2.96427763660009,34.1324652358472,-7.40849329663264,3588583656.8278,103.4,31.0017957888583,3.28317593330073,4.88935288088643,26.2596685681188,6235.298685258964,11.0902390438247,2.32948,1.0016666666666667,UMC,ECS,0.0
ALB,2018,63.6337689393506,62.8192787162639,23.4919968538249,20.6761205604885,22.9293224265946,2.02805963071135,4.41504942562581,-0.221006685452235,3.00652397780484,32.507358683887,-6.60766481105068,3893560031.06681,101.0,31.1140135421951,3.67141928098908,5.28357949627288,25.9195838592949,7425.957729083665,16.639840637450202,2.9112449799196787,1.8316666666666668,UMC,ECS,0.0
ALB,2019,74.8082518103115,60.2886652039553,22.5935063424338,11.6000415822134,22.8783961540405,1.41109078954251,5.22293804368142,4.31363862893848,3.18947331160269,33.725595513728,-7.82064355473536,3763661058.67744,101.0,30.9361224858484,2.06257790176122,3.64975808463876,24.6048342032887,7940.210486166008,15.387857142857142,2.1414,2.158333333333333,UMC,ECS,1.0
ALB,2020,83.4542023899143,69.8900514825763,20.0048111185589,29.7327896535043,24.6048161574433,1.62088661717004,6.07727270280431,10.4901945914792,2.78365482017412,37.719333429721,-8.62504716716646,4817386149.20461,100.7,22.5407585558933,-3.31375636888916,-1.81016536329729,25.1975755428037,10201.520592885376,29.251304347826085,0.889203187250996,0.3758333333333333,UMC,ECS,0.0
ALB,2021,81.9202285649265,62.1678808397569,21.7657768002476,14.5720229004701,24.3983237122662,2.04147163139545,2.49159305432191,8.60129444951578,2.71273402231851,36.4341686860283,-7.59591643432052,5634561133.54085,100.2,31.1330562572669,8.96957619074095,10.6641494274411,27.2150561792836,14371.66246031746,19.656150793650795,1.4468525896414344,0.08,UMC,ECS,0.0
ARE,2013,1.80326774822252,,,,3.81987248786939,1.1011183637571,,22.7442635607822,4.16371768487191,,,68202650660.2746,124.6,95.7551835445394,4.91847806719888,0.805452996724028,,3541.2920238095235,14.230119047619048,2.35016,0.1075,HIC,MEA,0.0
